time,symbol,lot,price,realized_pnl,comment
2025-08-17 15:53:31,,0.0,0.0,500.0,D-trial-USD-09ec6e7f200a
2025-08-18 19:03:31,BTCUSDm,0.01,116675.09000000001,0.0,
2025-08-25 08:34:01,XAUUSDm,0.01,3364.817,0.0,
2025-08-25 08:34:19,BTCUSDm,0.01,111544.54000000001,-51.3,
2025-08-25 08:35:21,XAUUSDm,0.1,3364.435,0.0,
2025-08-25 16:20:11,XAUUSDm,0.1,3373.328,0.0,
2025-08-27 08:25:11,XAUUSDm,0.1,3384.596,112.68,
2025-08-27 08:25:16,XAUUSDm,0.01,3384.241,19.42,
2025-08-27 08:25:19,XAUUSDm,0.1,3384.251,198.16,
2025-08-27 08:25:36,XAUUSDm,0.5,3384.322,0.0,
2025-08-28 08:37:54,XAUUSDm,0.5,3399.917,-779.75,[so -0.93%/-0.79/84.61]
2025-08-28 08:37:55,,0.0,0.0,0.79,D-NULL
2025-08-29 13:03:35,,0.0,0.0,500.0,D-trial-USD-f984e6d9200e
2025-08-29 13:03:58,XAUUSDm,0.01,3417.893,0.0,
2025-08-31 08:46:45,BTCUSDm,0.01,108990.28000000001,0.0,
2025-09-04 16:39:13,BTCUSDm,1.01,109437.23,0.0,
2025-09-04 16:40:08,,0.0,0.0,9999999500.0,D-trial-USD-a76fac282d49
2025-09-06 13:15:40,BTCUSDm,1.01,110905.54000000001,-1483.0,
2025-09-06 13:15:45,BTCUSDm,0.01,110883.82,18.94,
2025-09-08 15:39:21,,0.0,0.0,-9999998035.94,W-trial-USD-83b0e872dc83
2025-09-08 15:39:50,XAUUSDm,0.01,3634.244,216.35,
2025-09-08 15:42:34,BTCUSDm,0.01,112617.91,0.0,
2025-09-10 11:50:05,XAUUSDm,0.1,3650.098,0.0,
2025-09-12 18:10:19,AAPLm,0.01,233.43,0.0,
2025-09-16 10:17:07,XAUUSDm,0.1,3696.66,465.62,
2025-09-16 17:46:29,AAPLm,0.01,238.28,4.85,
2025-09-22 10:27:29,BTCUSDm,0.01,112662.49,-0.44,
2025-09-22 10:36:19,XAUUSDm,0.1,3724.631,0.0,
2025-09-22 12:24:22,XAUUSDm,0.1,3714.631,100.0,[tp 3714.63100]
2025-09-22 12:36:03,XAUUSDm,0.1,3718.422,0.0,
2025-09-22 12:36:36,XAUUSDm,0.1,3717.94,4.82,[tp 3717.94000]
2025-09-22 12:41:11,XAUUSDm,0.1,3715.9610000000002,0.0,
2025-09-22 12:46:48,BTCUSDm,0.1,112678.25,0.0,
2025-09-24 08:41:49,XAUUSDm,0.1,3769.6420000000003,0.0,
2025-09-26 15:26:54,XAUUSDm,0.1,3777.0589999999997,-74.17,
2025-09-26 15:26:54,XAUUSDm,0.1,3777.0589999999997,-610.98,
2025-09-26 15:26:54,BTCUSDm,0.1,109287.89,-339.04,
2025-09-26 15:27:03,XAUUSDm,0.1,3777.085,0.0,
2025-09-27 09:06:56,BTCUSDm,0.1,109260.96,0.0,
2025-09-29 07:56:33,BTCUSDm,0.1,111863.85,260.29,
2025-09-29 08:02:34,,0.0,0.0,472.7,D-trial-USD-2f34f34772e6
2025-09-29 08:02:49,XAUUSDm,0.1,3810.892,-338.07,
2025-09-29 08:02:58,,0.0,0.0,338.07,D-trial-USD-bf30135383c1
2025-09-29 08:03:07,,0.0,0.0,99000.0,D-trial-USD-b4f035d2236a
2025-09-29 08:03:13,,0.0,0.0,-99900.0,W-trial-USD-1fe5da82fe6f
2025-09-29 08:03:17,,0.0,0.0,900.0,D-trial-USD-fd6d14cd4f63
2025-09-29 08:03:52,BTCUSDm,0.1,112115.13,0.0,
2025-09-29 08:05:38,XAUUSDm,0.1,3810.369,0.0,
2025-09-29 08:54:05,XAUUSDm,0.1,3819.243,0.0,
2025-09-29 11:07:37,BTCUSDm,0.1,112047.6,6.75,
2025-09-29 11:07:46,BTCUSDm,0.1,112050.87,0.0,
2025-09-29 11:17:40,XAUUSDm,0.1,3822.435,31.92,
2025-09-29 11:57:45,XAUUSDm,1.0,3831.006,0.0,
2025-09-29 11:57:59,XAUUSDm,0.1,3831.52,-211.51,
2025-09-29 12:07:37,XAUUSDm,1.0,3825.5640000000003,0.0,
2025-09-29 12:07:48,XAUUSDm,1.0,3825.233,0.0,
2025-09-29 12:08:05,XAUUSDm,1.0,3824.6820000000002,-632.4,
2025-09-29 12:08:15,XAUUSDm,1.0,3825.016,21.7,
2025-09-29 12:08:18,XAUUSDm,1.0,3825.199,36.5,
2025-09-29 12:08:27,XAUUSDm,1.0,3825.359,0.0,
2025-09-29 12:14:23,XAUUSDm,1.0,3823.321,203.8,
2025-09-29 12:14:27,BTCUSDm,0.1,112176.96,12.61,
2025-09-29 12:14:36,XAUUSDm,0.1,3823.463,0.0,
2025-09-29 12:21:11,XAUUSDm,1.0,3822.218,0.0,
2025-09-29 12:21:17,XAUUSDm,0.1,3821.384,20.79,
2025-09-29 12:27:45,XAUUSDm,1.0,3817.311,-490.7,[so -0.28%/-0.54/191.11]
2025-09-29 12:27:46,,0.0,0.0,0.54,D-NULL
2025-09-29 15:08:23,,0.0,0.0,1000.0,D-trial-USD-138d533b78d7
2025-09-29 15:09:46,XAUUSDm,1.0,3826.573,0.0,
2025-09-29 15:11:47,XAUUSDm,1.0,3825.799,0.0,
2025-09-29 15:17:47,XAUUSDm,1.0,3823.355,0.0,
2025-09-29 15:24:06,XAUUSDm,1.0,3828.16,236.1,
2025-09-29 15:24:18,XAUUSDm,1.0,3828.14,156.7,
2025-09-29 15:25:33,XAUUSDm,1.0,3829.371,0.0,
2025-09-29 15:54:03,XAUUSDm,1.0,3833.338,-998.3,[so -0.57%/-2.20/382.64]
2025-09-29 15:54:03,XAUUSDm,1.0,3833.338,-396.7,[so -1.15%/-2.20/191.47]
2025-09-29 15:54:04,,0.0,0.0,2.2,D-NULL
2025-09-29 19:07:29,,0.0,0.0,1000.0,D-trial-USD-64580bcdfb52
2025-09-29 19:08:02,XAUUSDm,1.0,3824.506,0.0,
2025-09-29 19:44:00,XAUUSDm,1.0,3829.0,449.4,[tp 3829.00000]
2025-09-29 19:44:06,XAUUSDm,1.0,3829.493,0.0,
2025-09-29 20:54:54,XAUUSDm,1.0,3833.082,358.9,
2025-09-29 20:55:50,XAUUSDm,0.1,3833.677,0.0,
2025-09-30 08:59:47,XAUUSDm,0.1,3816.616,0.0,
2025-09-30 09:00:13,XAUUSDm,0.1,3820.099,34.83,[tp 3820.09900]
2025-09-30 09:00:23,XAUUSDm,0.1,3821.343,0.0,
2025-09-30 09:02:02,XAUUSDm,0.1,3819.137,0.0,
2025-09-30 09:06:42,XAUUSDm,0.1,3817.0,21.37,[tp 3817.00000]
2025-09-30 14:10:28,XAUUSDm,0.1,3840.0,63.23,[tp 3840.00000]
2025-09-30 16:18:29,XAUUSDm,0.1,3842.866,215.23,
2025-09-30 16:45:00,XAUUSDm,1.0,3845.734,0.0,
2025-09-30 16:47:53,XAUUSDm,1.0,3846.321,58.7,
